O,D,weight
2300101,2300309,31.0
2300101,2301000,159.0
2300101,2301109,110.0
2300101,2301604,1.0
2300101,2301703,100.0
2300101,2301901,319.0
2300101,2302008,2.0
2300101,2302503,271.0
2300101,2302701,9.0
2300101,2303006,2.0
2300101,2303501,2.0
2300101,2303709,69.0
2300101,2304202,335.0
2300101,2304285,32.0
2300101,2304400,1310.0
2300101,2304459,566.0
2300101,2304707,4.0
2300101,2305506,170.0
2300101,2306009,1.0
2300101,2306256,37.0
2300101,2306553,4.0
2300101,2306801,1.0
2300101,2306900,6.0
2300101,2307007,3.0
2300101,2307106,1.0
2300101,2307304,1289.0
2300101,2307650,510.0
2300101,2307700,27.0
2300101,2308104,36.0
2300101,2308302,607.0
2300101,2308401,87.0
2300101,2308708,48.0
2300101,2309409,1.0
2300101,2309607,1.0
2300101,2310209,54.0
2300101,2310258,5.0
2300101,2311108,20.0
2300101,2311405,4.0
2300101,2312908,124.0
2300101,2313104,1.0
2300150,2300200,161.0
2300150,2300309,29.0
2300150,2300606,19.0
2300150,2300705,36.0
2300150,2300754,117.0
2300150,2301000,456.0
2300150,2301109,102.0
2300150,2301208,866.0
2300150,2301307,10.0
2300150,2301406,129.0
2300150,2301604,21.0
2300150,2301703,53.0
2300150,2301802,14.0
2300150,2301901,62.0
2300150,2301950,797.0
2300150,2302008,46.0
2300150,2302057,17.0
2300150,2302107,306.0
2300150,2302206,84.0
2300150,2302305,19.0
2300150,2302404,151.0
2300150,2302503,81.0
2300150,2302602,157.0
2300150,2302701,47.0
2300150,2302800,76.0
2300150,2302909,158.0
2300150,2303006,37.0
2300150,2303105,45.0
2300150,2303204,92.0
2300150,2303402,30.0
2300150,2303501,156.0
2300150,2303600,62.0
2300150,2303659,25.0
2300150,2303709,656.0
2300150,2303808,36.0
2300150,2303956,124.0
2300150,2304004,8.0
2300150,2304103,102.0
2300150,2304202,192.0
2300150,2304251,61.0
2300150,2304285,728.0
2300150,2304350,12.0
2300150,2304400,7593.0
2300150,2304459,58.0
2300150,2304509,20.0
2300150,2304707,76.0
2300150,2304954,268.0
2300150,2305001,58.0
2300150,2305100,58.0
2300150,2305209,19.0
2300150,2305233,530.0
2300150,2305308,50.0
2300150,2305332,15.0
2300150,2305357,76.0
2300150,2305407,103.0
2300150,2305506,220.0
2300150,2305605,23.0
2300150,2305654,14.0
2300150,2305704,20.0
2300150,2305803,28.0
2300150,2305902,17.0
2300150,2306108,52.0
2300150,2306256,279.0
2300150,2306306,34.0
2300150,2306405,152.0
2300150,2306504,138.0
2300150,2306553,136.0
2300150,2306603,22.0
2300150,2306801,55.0
2300150,2306900,116.0
2300150,2307007,106.0
2300150,2307254,87.0
2300150,2307304,315.0
2300150,2307502,43.0
2300150,2307601,337.0
2300150,2307635,77.0
2300150,2307650,3008.0
2300150,2307700,121.0
2300150,2307809,26.0
2300150,2307908,41.0
2300150,2308005,257.0
2300150,2308104,72.0
2300150,2308302,76.0
2300150,2308401,23.0
2300150,2308500,76.0
2300150,2308609,23.0
2300150,2308708,355.0
2300150,2308807,21.0
2300150,2308906,39.0
2300150,2309102,34.0
2300150,2309300,46.0
2300150,2309409,84.0
2300150,2309458,55.0
2300150,2309508,129.0
2300150,2309607,539.0
2300150,2309706,447.0
2300150,2309805,60.0
2300150,2310209,59.0
2300150,2310258,29.0
2300150,2310308,77.0
2300150,2310506,59.0
2300150,2310704,34.0
2300150,2310852,80.0
2300150,2311108,7.0
2300150,2311207,6.0
2300150,2311231,48.0
2300150,2311264,39.0
2300150,2311306,142.0
2300150,2311355,53.0
2300150,2311405,192.0
2300150,2311504,20.0
2300150,2311603,2526.0
2300150,2311702,27.0
2300150,2311801,135.0
2300150,2312007,19.0
2300150,2312106,28.0
2300150,2312205,41.0
2300150,2312304,92.0
2300150,2312403,110.0
2300150,2312502,23.0
2300150,2312700,20.0
2300150,2312809,22.0
2300150,2312908,359.0
2300150,2313104,82.0
2300150,2313203,59.0
2300150,2313302,47.0
2300150,2313401,116.0
2300150,2313500,70.0
2300150,2313559,38.0
2300150,2313609,32.0
2300150,2313757,52.0
2300150,2313807,138.0
2300150,2313906,77.0
2300150,2313955,68.0
2300150,2314003,36.0
2300150,2314102,51.0
2300200,2300101,9.0
2300200,2300705,7.0
2300200,2300754,1739.0
2300200,2300903,19.0
2300200,2301000,1859.0
2300200,2301109,462.0
2300200,2302057,184.0
2300200,2302206,261.0
2300200,2302305,4145.0
2300200,2302404,637.0
2300200,2302503,110.0
2300200,2302602,1324.0
2300200,2302800,104.0
2300200,2303501,91.0
2300200,2303709,861.0
2300200,2303907,153.0
2300200,2304004,8.0
2300200,2304103,31.0
2300200,2304202,119.0
2300200,2304251,10237.0
2300200,2304285,1382.0
